,event_duration_min,rainfall_duration_min,rain_total_in,rainfall_vol_ft3,rainfall_vol_kilo_ft3,max_discharge_ft3s,discharge_duration_min,lag_time_min,WATER_1,WATER_2,WATER_G,Column2,goes_rainfall_ft3
event_duration_min,1,0.918717248,0.67224767,0.665365988,0.66536599,0.442090154,0.872509339,0.369094482,0.523841981,0.59858999,-0.061618517,-0.036993684,-0.153573554
rainfall_duration_min,0.918717248,1,0.656930453,0.621961133,0.621961135,0.359089648,0.787742586,0.32711016,0.497747542,0.550376452,0.2178035,-0.270902968,-0.131260773
rain_total_in,0.67224767,0.656930453,1,0.995068523,0.995068523,0.404275588,0.732109616,-0.026633547,0.236657747,0.97939173,0.054256542,-0.225239756,-0.03368883
rainfall_vol_ft3,0.665365988,0.621961133,0.995068523,1,1,0.421028816,0.722937389,-0.019157231,0.228951548,0.988340549,-0.038686924,-0.195977196,-0.035484481
rainfall_vol_kilo_ft3,0.66536599,0.621961135,0.995068523,1,1,0.421028818,0.722937391,-0.019157231,0.228951548,0.988340549,-0.038686924,-0.195977196,-0.035484483
max_discharge_ft3s,0.442090154,0.359089648,0.404275588,0.421028816,0.421028818,1,0.587157024,-0.264549079,-0.113220087,0.451908958,-0.083269618,-0.293360545,-0.113003804
discharge_duration_min,0.872509339,0.787742586,0.732109616,0.722937389,0.722937391,0.587157024,1,-0.112215631,0.254174212,0.697553843,0.064051185,0.010032839,-0.117434969
lag_time_min,0.369094482,0.32711016,-0.026633547,-0.019157231,-0.019157231,-0.264549079,-0.112215631,1,0.68748194,-0.121470161,-0.324525024,0.105480011,-0.142197645
WATER_1,0.523841981,0.497747542,0.236657747,0.228951548,0.228951548,-0.113220087,0.254174212,0.68748194,1,0.0805032,-0.267028691,0.459403875,0.274564718
WATER_2,0.59858999,0.550376452,0.97939173,0.988340549,0.988340549,0.451908958,0.697553843,-0.121470161,0.0805032,1,-0.025005152,-0.261548394,-0.078277959
WATER_G,-0.061618517,0.2178035,0.054256542,-0.038686924,-0.038686924,-0.083269618,0.064051185,-0.324525024,-0.267028691,-0.025005152,1,-0.470515249,-0.085548024
Column2,-0.036993684,-0.270902968,-0.225239756,-0.195977196,-0.195977196,-0.293360545,0.010032839,0.105480011,0.459403875,-0.261548394,-0.470515249,1,0.2478682
goes_rainfall_ft3,-0.153573554,-0.131260773,-0.03368883,-0.035484481,-0.035484483,-0.113003804,-0.117434969,-0.142197645,0.274564718,-0.078277959,-0.085548024,0.2478682,1
