date_time,height,discharge,temp_c
2001-06-26T13:19:00Z,3.39,25.68,16.5
2001-06-26T13:20:00Z,3.54,36.68,16.4
2001-06-26T13:21:00Z,3.47,31.19,16.2
2001-06-26T13:22:00Z,3.61,41.36,16.4
2001-06-26T13:23:00Z,3.69,47.48,16.6
2001-06-26T13:24:00Z,3.78,54.89,16.6
2001-06-26T13:25:00Z,3.52,34.98,16.7
2001-06-26T13:26:00Z,3.51,34.03,16.8
2001-06-26T13:27:00Z,3.46,30.49,16.9
2001-06-26T13:28:00Z,3.39,25.9,16.9
2001-06-26T13:29:00Z,3.35,23.22,17.825
2001-06-26T14:00:00Z,3.13,8.9,18.75
2001-06-26T15:00:00Z,3,1.42,19.675
2001-08-22T00:00:00Z,3.14,9.85,20.6
2001-08-22T06:00:00Z,3.1,3.55,18.7
2002-04-17T13:00:00Z,3.09,1.36,24.2
2002-04-17T13:01:00Z,3.41,21.58,24.6
2002-04-17T13:02:00Z,3.4,20.69,24.6
2002-04-17T13:03:00Z,3.36,18.06,25.15
2002-04-17T14:00:00Z,3.07,0.53,25.7
2002-04-17T15:00:00Z,3.08,1.72,25.8
2002-06-08T20:28:00Z,3.74,44.45,34.2
2002-06-08T20:29:00Z,3.36,16.56,31.8
2002-06-09T03:00:00Z,3.1,0.16,29.4
2002-06-09T04:00:00Z,3.1,0.15,29
2002-09-07T12:00:00Z,3.13,1.06,16.2
2002-09-07T15:00:00Z,3.27,6.34,17.2
2002-09-11T22:00:00Z,3.19,2.41,20.2
2003-05-05T15:00:00Z,3.07,0.35,22.1
2003-05-05T16:00:00Z,3.37,17.26,22.3
2003-05-05T16:01:00Z,3.39,18.13,22.1
2003-05-05T16:02:00Z,3.36,16.17,22.1
2003-05-05T16:03:00Z,3.38,17.69,22.1
2003-05-05T16:04:00Z,3.4,19.02,22.1
2003-05-05T16:05:00Z,3.36,16.17,22.2
2003-05-05T16:06:00Z,3.38,17.48,22.3
2003-05-05T16:07:00Z,3.36,16.17,22.2
2003-05-05T16:08:00Z,3.36,16.17,22.1
2003-05-05T16:09:00Z,3.4,18.8,22
2003-05-05T16:10:00Z,3.4,19.24,22.1
2003-05-05T16:11:00Z,3.4,19.02,22.2
2003-05-05T16:12:00Z,3.36,16.17,21.15
2003-08-21T15:34:00Z,3.37,15.42,20.1
2003-08-21T15:35:00Z,3.36,14.54,20.05
2003-08-21T15:36:00Z,3.38,15.81,20
2003-08-21T15:37:00Z,3.36,14.49,20.05
2003-08-21T15:38:00Z,3.37,15.55,20.1
2003-08-21T15:39:00Z,3.36,14.45,20.1
2003-08-21T15:40:00Z,3.36,14.64,20.1
2003-08-21T15:41:00Z,3.36,14.4,21.95
