time (MST),Gage Height(ft)-GCMRC-GCLT1,Gage Height Ice Affected On This Day-GCMRC-GCLT1,Gage Height Notes-GCMRC-GCLT1,Discharge(cfs)-GCMRC-GCLT1,Discharge Ice Affected On This Day-GCMRC-GCLT1,Discharge Notes-GCMRC-GCLT1,Air Temperature(°C)-GCMRC-GCLT1
2001-06-26T13:19:00Z,3.39,NO,"",25.68,NO,"",16.5
2001-06-26T13:20:00Z,3.54,NO,"",36.68,NO,"",16.4
2001-06-26T13:21:00Z,3.47,NO,"",31.19,NO,"",16.2
2001-06-26T13:22:00Z,3.61,NO,"",41.36,NO,"",16.4
2001-06-26T13:23:00Z,3.69,NO,"",47.48,NO,"",16.6
2001-06-26T13:24:00Z,3.78,NO,"",54.89,NO,"",16.6
2001-06-26T13:25:00Z,3.52,NO,"",34.98,NO,"",16.7
2001-06-26T13:26:00Z,3.51,NO,"",34.03,NO,"",16.8
2001-06-26T13:27:00Z,3.46,NO,"",30.49,NO,"",16.9
2001-06-26T13:28:00Z,3.39,NO,"",25.9,NO,"",16.9
2001-06-26T13:29:00Z,3.35,NO,"",23.22,NO,"",-999
2001-06-26T14:00:00Z,3.13,NO,"",8.9,NO,"",-999
2001-06-26T15:00:00Z,3,NO,"",1.42,NO,"",-999
2001-08-22T00:00:00Z,3.14,NO,"",9.85,NO,"",20.6
2001-08-22T06:00:00Z,3.1,NO,"",3.55,NO,"",18.7
2002-04-17T13:00:00Z,3.09,NO,"",1.36,NO,"",24.2
2002-04-17T13:01:00Z,3.41,NO,"",21.58,NO,"",24.6
2002-04-17T13:02:00Z,3.4,NO,"",20.69,NO,"",24.6
2002-04-17T13:03:00Z,3.36,NO,"",18.06,NO,"",-999
2002-04-17T14:00:00Z,3.07,NO,"",0.53,NO,"",25.7
2002-04-17T15:00:00Z,3.08,NO,"",1.72,NO,"",25.8
2002-06-08T20:28:00Z,3.74,NO,"",44.45,NO,"",34.2
2002-06-08T20:29:00Z,3.36,NO,"",16.56,NO,"",-999
2002-06-09T03:00:00Z,3.1,NO,"",0.16,NO,"",29.4
2002-06-09T04:00:00Z,3.1,NO,"",0.15,NO,"",29
2002-09-07T12:00:00Z,3.13,NO,"",1.06,NO,"",16.2
2002-09-07T15:00:00Z,3.27,NO,"",6.34,NO,"",17.2
2002-09-11T22:00:00Z,3.19,NO,"",2.41,NO,"",20.2
2003-05-05T15:00:00Z,3.07,NO,"",0.35,NO,"",22.1
2003-05-05T16:00:00Z,3.37,NO,"",17.26,NO,"",22.3
2003-05-05T16:01:00Z,3.39,NO,"",18.13,NO,"",22.1
2003-05-05T16:02:00Z,3.36,NO,"",16.17,NO,"",-999
2003-05-05T16:03:00Z,3.38,NO,"",17.69,NO,"",22.1
2003-05-05T16:04:00Z,3.4,NO,"",19.02,NO,"",22.1
2003-05-05T16:05:00Z,3.36,NO,"",16.17,NO,"",-999
2003-05-05T16:06:00Z,3.38,NO,"",17.48,NO,"",22.3
2003-05-05T16:07:00Z,3.36,NO,"",16.17,NO,"",-999
2003-05-05T16:08:00Z,3.36,NO,"",16.17,NO,"",-999
2003-05-05T16:09:00Z,3.4,NO,"",18.8,NO,"",22
2003-05-05T16:10:00Z,3.4,NO,"",19.24,NO,"",22.1
2003-05-05T16:11:00Z,3.4,NO,"",19.02,NO,"",22.2
2003-05-05T16:12:00Z,3.36,NO,"",16.17,NO,"",-999
2003-08-21T15:34:00Z,3.37,NO,"",15.42,NO,"",20.1
2003-08-21T15:35:00Z,3.36,NO,"",14.54,NO,"",-999
2003-08-21T15:36:00Z,3.38,NO,"",15.81,NO,"",20
2003-08-21T15:37:00Z,3.36,NO,"",14.49,NO,"",-999
2003-08-21T15:38:00Z,3.37,NO,"",15.55,NO,"",20.1
2003-08-21T15:39:00Z,3.36,NO,"",14.45,NO,"",-999
2003-08-21T15:40:00Z,3.36,NO,"",14.64,NO,"",20.1
2003-08-21T15:41:00Z,3.36,NO,"",14.4,NO,"",-999
2003-08-21T16:00:00Z,3.21,NO,"",4.93,NO,"",23.8
2003-10-29T14:00:00Z,3.18,NO,"",1.47,NO,"",21.2
2003-10-30T13:00:00Z,3.54,NO,"",24.56,NO,"",23.3
2003-10-30T13:01:00Z,3.53,NO,"",24.09,NO,"",23.3
